\xef\xbb\xbfWeek,NO,English,Korean,POS,Definition,Definition_Korean,Example,Example_Korean
1,1,bring,가져오다,verb,to carry something to another place,다른 곳으로 무언가를 나르다,Make sure you bring your umbrella,우산을 꼭 가져오세요
1,2,before,~전에,prep.,earlier in time,시간상 더 이른,Brush your teeth before you go to bed.,잠자리에 들기 전에 이를 닦으세요.
1,3,light,가벼운,adj.,having little weight,무게가 적은,Your pencil case is very light. I think it's empty.,너의 필통은 매우 가벼워. 비어있는 것 같아.
1,4,carry,들고가다,verb,to hold something while moving,움직이면서 무언가를 들다,Can you carry all those books?,그 모든 책들을 들고 갈 수 있어?
1,5,suddenly,갑자기,adv.,quickly and unexpectedly,빠르고 예상치 못하게,Suddenly it started to rain.,갑자기 비가 내리기 시작했다.
1,6,around,~주위에,prep.,on all sides,모든 면에,Let's walk around the park.,공원 주위를 걸어보자.
1,7,blast off,발사하다,phr.v.,to leave the ground fast,빠르게 땅을 떠나다,When it is ready the rocket will blast off.,준비가 되면 로켓이 발사될 것이다.
1,8,startle,깜짝 놀리게 하다,adj.,surprised and slightly frightened,놀라고 약간 무서워하는,She gave a startle look.,그녀는 깜짝 놀란 표정을 지었다.
1,9,distinguish,구별하다,verb,to notice or recognize a difference between people or things,사람이나 사물 간의 차이를 알아차리거나 인식하다,It's hard to distinguish twins.,쌍둥이를 구별하기는 어렵다.
1,10,classify,분류하다,verb,to divide things or people into groups according to their type,유형에 따라 사물이나 사람을 그룹으로 나누다,We can classify animals by their size or where they live.,크기나 서식지에 따라 동물을 분류할 수 있다.
2,1,dust,먼지,noun,tiny dry pieces of dirt,작은 마른 흙 조각들,There's a lot of dust on this TV.,이 TV에 먼지가 많이 있다.
2,2,gravity,중력,noun,the force that pulls us to the ground,우리를 땅으로 끌어당기는 힘,Gravity keeps us from flying in the sky.,중력이 우리가 하늘로 날아가지 않게 한다.
2,3,earth,지구땅,noun,the planet we live on,우리가 사는 행성,Earth is the third planet from the sun.,지구는 태양으로부터 세 번째 행성이다.
